name,population
Абаза,14816
Абакан,187239
Абдулино,18420
Абинск,39186
Агидель,13935
Агрыз,19743
Адыгейск,12877
Азнакаево,33728
Азов,79857
Ак-Довурак,13769
Аксай,46631
Алагир,19678
Алапаевск,36951
Алатырь,33035
Алдан,20366
Алейск,28434
Александров,57073
Александровск,11739
Александровск-Сахалинский,9106
Алексеевка,37583
Алексин,57102
Алзамай,5693
Алупкане призн.,8087
Алуштане призн.,30194
Альметьевск,158019
Амурск,38694
Анадырь,15240
Анапа,94340
Ангарск,222855
Андреаполь,6703
Анжеро-Судженск,66933
Анива,9326
Апатиты,53847
Апрелевка,32424
Апшеронск,39162
Арамиль,15791
Аргун,40290
Ардатов,8150
Ардон,19274
Арзамас,103396
Аркадак,11340
Армавир,187215
Армянскне призн.,21239
Арсеньев,51723
Арск,20219
Артём,104926
Артёмовск,1492
Артёмовский,29754
Архангельск,344927
Асбест,62285
Асино,24442
Астрахань,524371
Аткарск,23660
Ахтубинск,36127
Ачинск,104850
Аша,28722
Бабаево,11416
Бабушкин,4385
Бавлы,21794
Багратионовск,6401
Байкальск,12541
Баймак,17090
Бакал,18429
Баксан,38645
Балабаново,25861
Балаково,186012
Балахна,48122
Балашиха,507307
Балашов,74981
Балей,10630
Балтийск,33946
Барабинск,28546
Барнаул,631124
Барыш,15408
Батайск,127444
Бахчисарайне призн.,26090
Бежецк,20097
Белая Калитва,38739
Белая Холуница,9994
Белгород,391702
Белебей,59093
Белинский,7566
Белово,70611
Белогорск,64502
Белогорскне призн.,16298
Белозерск,8464
Белокуриха,15128
Беломорск,9036
Белоозёрский,17674
Белорецк,64479
Белореченск,51405
Белоусово,10695
Белоярский,19797
Белый,3057
Белёв,12484
Бердск,103561
Березники,137091
Берёзовский,44932
Берёзовский,60334
Беслан,37400
Бийск,198433
Бикин,16026
Билибино,5366
Биробиджан,70433
Бирск,46245
Бирюсинск,8401
Бирюч,7409
Благовещенск,225757
Благовещенск,34656
Благодарный,30333
Бобров,19842
Богданович,29309
Богородицк,30199
Богородск,33244
Боготол,19218
Богучар,10975
Бодайбо,11477
Бокситогорск,14973
Болгар,8139
Бологое,20178
Болотное,15344
Болохово,8738
Болхов,10685
Большой Камень,38685
Бор,76732
Борзя,29387
Борисоглебск,58742
Боровичи,48858
Боровск,10222
Бородино,16005
Братск,225037
Бронницы,22014
Брянск,399579
Бугульма,81678
Бугуруслан,47714
Будённовск,60504
Бузулук,86042
Буинск,20093
Буй,22960
Буйнакск,66422
Бутурлиновка,23627
Валдай,13800
Валуйки,34283
Велиж,6639
Великие Луки,90485
Великий Новгород,225019
Великий Устюг,31078
Вельск,22217
Венёв,13691
Верещагино,20935
Верея,5061
Верхнеуральск,9141
Верхний Тагил,10428
Верхний Уфалей,26444
Верхняя Пышма,74262
Верхняя Салда,41026
Верхняя Тура,8862
Верхотурье,8528
Верхоянск,1095
Весьегонск,5846
Ветлуга,8258
Видное,78635
Вилюйск,11319
Вилючинск,22522
Вихоревка,20708
Вичуга,32971
Владивосток,600871
Владикавказ,301543
Владимир,352347
Волгоград,1004763
Волгодонск,169953
Волгореченск,16111
Волжск,52703
Волжский,323853
Вологда,308530
Володарск,9875
Волоколамск,18368
Волосово,11621
Волхов,43969
Волчанск,8458
Вольск,60948
Воркута,52292
Воронеж,1050602
Ворсма,10120
Воскресенск,92196
Воткинск,96861
Всеволожск,75660
Вуктыл,9671
Выборг,74054
Выкса,52892
Высоковск,10306
Высоцк,1074
Вытегра,10116
Вышний Волочёк,44722
Вяземский,12969
Вязники,33769
Вязьма,52434
Вятские Поляны,31488
Гаврилов Посад,5492
Гаврилов-Ям,16341
Гагарин,28702
Гаджиево,13016
Гай,33564
Галич,16629
Гатчина,89311
Гвардейск,13353
Гдов,3216
Геленджик,75504
Георгиевск,65633
Глазов,91921
Голицыно,17264
Горбатов,1828
Горно-Алтайск,64504
Горнозаводск,11103
Горняк,12115
Городец,29353
Городище,7572
Городовиковск,8397
Гороховец,12617
Горячий Ключ,41604
Грайворон,6450
Гремячинск,7971
Грозный,324602
Грязи,46415
Грязовец,14797
Губаха,18825
Губкин,86073
Губкинский,28106
Гудермес,57179
Гуково,62658
Гулькевичи,34314
Гурьевск,19670
Гурьевск,22134
Гусев,28177
Гусиноозёрск,23263
Гусь-Хрустальный,51998
Давлеканово,22971
Дагестанские Огни,30120
Далматово,11938
Дальнегорск,33803
Дальнереченск,24786
Данилов,14416
Данков,18558
Дегтярск,15326
Дедовск,30645
Демидов,6033
Дербент,126606
Десногорск,27051
Джанкойне призн.,37410
Дзержинск,227326
